component	audience	legacy_site_count	analysis_status	analysis_scope	analysis_evidence	native_function	native_test_or_fixture	status	prerequisites
direct-emergency-warp-confirmation-output	player	0	exact_component_oracle	YT:[1593,161D): exact fresh-turn gate, both warning rows, A8D2 confirmation/retry behavior, optional extracted YT-SUB:[9FC4,A400) emergency-warp child, endpoint/pager/state effects, raw-record persistence, RNG order, modeled parent COPY and child GET/PUT failures, and every ordinary branch through the typed YT:081F join	docs/runtime/direct-emergency-warp-output.md; docs/runtime/main-shell-output.md; docs/runtime/hostile-fighter-entry-output.md; tools/ytdirect_emergency_warp_output.py; tools/ytblackhole_output.py; tests/test_ytdirect_emergency_warp_output.py; analysis/disassembly/ytdirect-emergency-warp-output.static.txt	src/yt_session.c::{direct_emergency_warp,fresh_no_turn_gate,session_02db,session_02fc,session_a8d2,emergency_warp}; src/yt_game.c::yt_no_turn_gate_denied	tests/test_score.c::check_hostile_menu_front; tests/test_input_model.c::{test_yes_no_candidate,test_timed_wait}; tests/test_presentation.c::test_direct_emergency_warp_presentation; tests/test_sound.c	candidate	fresh gate, exact no-turn body, 167-byte plain and 223-byte ANSI decline bodies, warnings, confirmation semantics and child/control joins are represented; add deterministic accepted-child raw output/RNG/FIELD/store/cache/failure transcript, invalid retry, carrier/pager/mode/physical endpoints and allocation prefixes
main-emergency-warp-cycle-output	player	0	exact_component_oracle	ordinary main YT:[1659,1737) prompt/editor and first-byte W dispatch, exact YT:[1593,161D) direct emergency-warp wrapper with optional YT-SUB:[9FC4,A400) child, and exactly one YT:[081F,09C9) gameplay-reentry pass through a typed hazard, hostile-menu, or first-main-AB36-poll boundary	docs/runtime/main-emergency-warp-cycle-output.md; docs/runtime/main-shell-output.md; docs/runtime/direct-emergency-warp-output.md; docs/runtime/gameplay-loop-reentry-output.md; tools/ytmain_emergency_warp_cycle_output.py; tools/ytmain_shell_output.py; tools/ytdirect_emergency_warp_output.py; tools/ytgameplay_reentry_output.py; tools/ytgameplay_hazard_cycle_output.py; tests/test_ytmain_emergency_warp_cycle_output.py; tests/test_ytgameplay_hazard_cycle_output.py; analysis/disassembly/ytmain-emergency-warp-cycle-output.static.txt	src/yt_session.c::{command_shell,direct_emergency_warp,sector_entry,display_sector}	tests/test_presentation.c::{test_direct_emergency_warp_presentation,test_post_login_press_presentation,test_sector_private_pager}; tests/test_input_model.c::{test_yes_no_candidate,test_timed_wait}	candidate	main first-byte W now enters the shared direct wrapper and all ordinary outcomes enter the scanner/router; add exact joined active main prompt/editor, accepted child, hazard/hostile/fresh-main boundary and raw ANSI/local/effect fixture
hostile-emergency-warp-cycle-output	player	0	exact_component_oracle	active hostile YT:[09C9,0A76) fighter ratio, prompt/editor, whole-string W/WT dispatch, exact YT:[1593,161D) direct emergency-warp wrapper with optional YT-SUB:[9FC4,A400) child, and exactly one YT:[081F,09C9) gameplay-reentry pass through a typed hazard, hostile-menu, or first-main-AB36-poll boundary	docs/runtime/hostile-emergency-warp-cycle-output.md; docs/runtime/hostile-fighter-entry-output.md; docs/runtime/direct-emergency-warp-output.md; docs/runtime/gameplay-loop-reentry-output.md; tools/ythostile_emergency_warp_cycle_output.py; tools/ythostile_entry_output.py; tools/ytdirect_emergency_warp_output.py; tools/ytgameplay_reentry_output.py; tests/test_ythostile_emergency_warp_cycle_output.py; analysis/disassembly/ythostile-emergency-warp-cycle-output.static.txt	src/yt_session.c::{sector_entry,direct_emergency_warp,display_sector}; src/yt_game.c::yt_hostile_menu_dispatch	tests/test_score.c::check_hostile_menu_front; tests/test_presentation.c::{test_hostile_menu_presentation,test_direct_emergency_warp_presentation,test_sector_private_pager}; tests/test_input_model.c::{test_yes_no_candidate,test_timed_wait}	candidate	hostile whole-string W/WT enters the shared direct wrapper and all ordinary outcomes enter the scanner/router; add exact joined two-A41C menu, accepted child, hazard/hostile/fresh-main boundary and raw ANSI/local/effect fixture
hostile-external-cycle-output	player	0	exact_component_oracle	active hostile YT:[09C9,0B20) fighter ratio, prompt/editor, and exact one-byte I or S dispatch; I composes the shared YT-SUB2:[0FD8,17EA) Info panel and one independently hydrated fresh hostile menu through its next typed dispatch, while S transfers directly to exactly one YT:[081F,09C9) gameplay-reentry scanner/router pass with raw terminal FIELD, physical-sector scratch, cache, and canonical entry/effect/terminal RNG continuity through the sole YT-SUB:5E8D scanner site	docs/runtime/hostile-external-cycle-output.md; docs/runtime/hostile-fighter-entry-output.md; docs/runtime/info-panel-output.md; docs/runtime/gameplay-loop-reentry-output.md; tools/ythostile_external_cycle_output.py; tests/test_ythostile_external_cycle_output.py; analysis/disassembly/ythostile-external-cycle-output.static.txt	src/yt_session.c::{sector_entry,show_ship}; src/yt_game.c::yt_hostile_menu_dispatch	tests/test_score.c::check_hostile_menu_front; tests/test_presentation.c::{test_hostile_menu_presentation,test_gameplay_reentry_hostile_warning}	candidate	exact one-byte I rehydrates after Info and S jumps directly through gameplay re-entry; add deterministic complete Info/scanner/return WORLD/FIELD/RNG/failure-prefix fixture
hostile-attack-admission-cycle-output	player	0	exact_component_oracle	active hostile YT:[09C9,0B20) fighter ratio, prompt/editor, all six position-one whole-string Attack aliases, and the three pre-I/O Attack exits at YT:[0B20,0BB5), each joined by a direct YT:09C9 jump to one independently hydrated fresh hostile menu through its next typed dispatch; raw FIELD/store observations and semantic player/indexed-cache state carry their exact ordered A41C mutations, while raw hostile planet-link/deployed-fighter/owner/label context, DS:4CF2, DS:4D1A, news, pager, and opaque zero-draw RNG state are preserved	docs/runtime/hostile-attack-admission-cycle-output.md; docs/runtime/hostile-fighter-entry-output.md; docs/runtime/deployed-fighter-attack-bribe-output.md; tools/ythostile_attack_admission_cycle_output.py; tools/ytdeployed_fighter_output.py; tests/test_ythostile_attack_admission_cycle_output.py; analysis/disassembly/ythostile-attack-admission-cycle-output.static.txt	src/yt_session.c::{sector_entry,attack_deployed,session_02fc,session_031f,session_036f,session_02db}; src/yt_game.c::yt_hostile_attack_admit; src/qb_format.c::{qb_val,qb_str_double}; src/qb.c::{qb_mbf32_encode,qb_mbf32_decode}	tests/test_score.c::check_hostile_menu_front; tests/test_presentation.c::test_hostile_attack_admission_presentation; tests/test_input_model.c::test_numeric_response	candidate	exact three early admission predicates, output partitions, numeric editor and fresh-menu control join are represented; add full joined A41C/raw FIELD/store/cache/scratch/RNG fixture, pager/carrier/error-handler/physical failures, and admitted combat continuation
hostile-attack-defenders-remain-cycle-output	player	0	exact_component_oracle	active hostile YT:[09C9,0B20) menu and all six whole-string Attack aliases joined through one admitted, non-surrender, one-iteration LA=1/LD=0 combat; exact opening sector GET, combat A41C, selector-2 sound, player-before-sector persistence, both concrete BRUN RND advances, the direct YT:1226 -> YT:09C9 defenders-remain edge, and one independent return A41C/fresh hostile menu through its next typed dispatch; exact raw FIELD/store observations, player/cloak caches, hostile context, combat cells, news preservation, pager/editor, and 24-bit RNG continuation are carried	docs/runtime/hostile-attack-defenders-remain-cycle-output.md; docs/runtime/deployed-fighter-attack-bribe-output.md; tools/ythostile_attack_defenders_cycle_output.py; tools/ytdeployed_fighter_output.py; tests/test_ythostile_attack_defenders_cycle_output.py; analysis/disassembly/ythostile-attack-defenders-cycle-output.static.txt	src/yt_session.c::{sector_entry,attack_deployed,attack_deployed_committed,reload_player,write_player,session_sound,session_present_text,session_02fc}; src/yt_game.c::{yt_hostile_attack_admit,yt_hostile_attack_quantum,yt_hostile_attack_loses_attacker}	tests/test_score.c::check_hostile_menu_front; tests/test_presentation.c::test_hostile_attack_admission_presentation; tests/test_sound.c	candidate	opening GET/A41C/sound, two-draw ordering, common rows, player-before-sector persistence, blank and fresh-menu join are represented; add deterministic injected-RNG full native raw FIELD/store/cache/effect/failure fixture and adjacent combat families
hostile-attack-defenders-cleared-cycle-output	player	0	exact_component_oracle	active hostile YT:[09C9,0B20) menu, all six whole-string Attack aliases, and exact dispatch joined through either one ordinary commitment-two last-defender LD=1 combat or one accepted ordinary-owner Y/default-blank surrender or ordinary N refusal followed by same-iteration attrition; exact player-before-sector persistence, independent loss/surrender-news A41C/append, mandatory late draw, defeated row, ordinary-owner HQ bypass, direct YT:127A -> YT:161D edge, minimal mode-zero scanner, fresh YT:1659 main prompt, and one empty AB36 poll; independent raw GET/FIELD/store/cache images, news state, pager/editor state, and concrete 24-bit BRUN continuation are carried	docs/runtime/hostile-attack-defenders-cleared-cycle-output.md; docs/runtime/deployed-fighter-attack-bribe-output.md; docs/runtime/hostile-fighter-entry-output.md; docs/runtime/current-sector-output.md; docs/runtime/main-shell-output.md; tools/ythostile_attack_cleared_cycle_output.py; tools/ytdeployed_fighter_output.py; tools/ythostile_entry_output.py; tools/ytmain_shell_output.py; tests/test_ythostile_attack_cleared_cycle_output.py; analysis/disassembly/ythostile-attack-cleared-cycle-output.static.txt	src/yt_session.c::{sector_entry,attack_deployed,attack_deployed_committed,session_a8d2,display_sector,display_sector_one,command_shell}; src/yt_game.c::{yt_hostile_attack_admit,yt_hostile_attack_quantum,yt_hostile_attack_loses_attacker,yt_hostile_defeated_row}	tests/test_score.c::check_hostile_menu_front; tests/test_input_model.c::test_yes_no_candidate; tests/test_presentation.c::{test_hostile_attack_admission_presentation,test_hostile_menu_presentation}	candidate	ordinary/surrender tail ordering, defeated row and direct scanner/main join are represented; add deterministic full native branch byte/FIELD/store/news/RNG/failure fixtures and complete scanner ANSI/local adapter
hostile-mercenary-bribe-accepted-cycle-output	player	0	exact_component_oracle	active hostile YT:[09C9,0B20) menu and all four whole-string Bribe aliases joined through one accepted Mercenary owner -2 offer; exact two-draw precheck, offer/editor and third threshold draw, accepted row and selector-one sound, sector-before-player persistence with stale-at-YT:1587 caches, direct YT:1587 -> YT:081F edge, minimal one-pass mode-zero scanner/router refresh, fresh YT:1659 main prompt, and one empty AB36 poll; independent raw GET/FIELD/store/cache images and concrete 24-bit BRUN continuation are carried	docs/runtime/hostile-mercenary-bribe-accepted-cycle-output.md; docs/runtime/hostile-fighter-entry-output.md; docs/runtime/deployed-fighter-attack-bribe-output.md; docs/runtime/gameplay-loop-reentry-output.md; tools/ythostile_mercenary_bribe_accepted_cycle_output.py; tools/ythostile_entry_output.py; tools/ytdeployed_fighter_output.py; tools/ytgameplay_reentry_output.py; tests/test_ythostile_mercenary_bribe_accepted_cycle_output.py; analysis/disassembly/ythostile-mercenary-bribe-accepted-cycle-output.static.txt	src/yt_session.c::{sector_entry,bribe_deployed,session_0317,session_031f,session_036f,session_02db,session_sound,reload_player,write_player}; src/yt_game.c::{yt_bribe_mercenary_forces,yt_bribe_offer_threshold,yt_bribe_offer_accepted}; src/qb.c::{qb_mbf32_encode,qb_mbf32_decode}; src/qb_format.c::{qb_val,qb_str_double}	tests/test_score.c::check_hostile_menu_front; tests/test_presentation.c::test_hostile_bribe_presentation	candidate	exact accepted action predicates, 132/188-byte body, sound and sector-before-player persistence are represented; add injected three-draw full raw FIELD/store/cache/RNG/failure fixture and complete scanner/main-prompt ANSI/local join
hostile-mercenary-bribe-quiet-cycle-output	player	0	exact_component_oracle	active hostile YT:[09C9,0B20) menu and all four whole-string Bribe aliases joined through three nonmutating returns: Mercenary cached-planet refusal with zero Bribe draws, Mercenary zero-link empty offer after exactly two unconditional precheck draws, and ordinary-owner refusal after one nonforcing force-Attack draw; each direct YT:081F edge continues through one canonical minimal mode-zero scan, hostile router warning, and fresh second hostile menu presentation; exact canonical serial/pager/RNG state, scanner DS:4CF2 4600-to-6000 scratch transition, route-specific owner-GET and FIELD-record outcomes, and semantic nonmutation are carried	docs/runtime/hostile-mercenary-bribe-quiet-cycle-output.md; docs/runtime/hostile-fighter-entry-output.md; docs/runtime/deployed-fighter-attack-bribe-output.md; docs/runtime/gameplay-loop-reentry-output.md; tools/ythostile_mercenary_bribe_quiet_cycle_output.py; tools/ythostile_entry_output.py; tools/ytdeployed_fighter_output.py; tools/ytgameplay_reentry_output.py; tests/test_ythostile_mercenary_bribe_quiet_cycle_output.py; analysis/disassembly/ythostile-mercenary-bribe-quiet-cycle-output.static.txt	src/yt_session.c::{sector_entry,bribe_deployed,session_0317,session_031f,session_036f,session_02db}; src/yt_game.c::{yt_bribe_ordinary_forces,yt_bribe_mercenary_forces}	tests/test_score.c::check_hostile_menu_front; tests/test_presentation.c::test_hostile_bribe_presentation	candidate	exact zero/one/two-draw control predicates and 35/49, 94/94, and 34/48-byte quiet bodies are represented; add complete raw FIELD/cache/RNG/nonmutation and scanner/second-menu ANSI/local joined fixtures plus carrier/failure/physical endpoints
hostile-bribe-subone-cycle-output	player	0	exact_component_oracle	active hostile YT:[09C9,0B20) menu and all four whole-string Bribe aliases joined through four forced commitments below one: Mercenary life demand, Mercenary threshold-rejected offer, Xannor owner force, and ordinary foreign-player random force; exact one/two/three-draw provenance, MBF64 fatal predicate versus MBF32 commitment-gate rounding, DS:4D62/DS:4D1A store order, zero-effect YT:0BA3 -> YT:09C9 return, and one independently hydrated fresh hostile menu through its next typed dispatch; exact raw FIELD/store/cache observations, preserved encounter/news/latch state, pager/editor state, and concrete 24-bit BRUN continuation are carried with integral player records only	docs/runtime/hostile-bribe-subone-cycle-output.md; docs/runtime/hostile-fighter-entry-output.md; docs/runtime/deployed-fighter-attack-bribe-output.md; tools/ythostile_bribe_subone_cycle_output.py; tools/ytdeployed_fighter_output.py; tests/test_ythostile_bribe_subone_cycle_output.py; analysis/disassembly/ythostile-bribe-subone-cycle-output.static.txt	src/yt_session.c::{sector_entry,bribe_deployed,bribe_forced_attack,session_02db}; src/yt_game.c::{yt_bribe_ordinary_forces,yt_bribe_mercenary_forces,yt_bribe_offer_threshold,yt_bribe_offer_accepted,yt_bribe_forced_admit}; src/qb.c::{qb_mbf32_encode,qb_mbf32_decode}	tests/test_score.c::check_hostile_menu_front; tests/test_presentation.c::test_hostile_bribe_presentation	candidate	exact four force predicates, commitment/fatal ordering, 41/55 and 134/148-byte bodies, and silent direct hostile-menu sub-one route are represented; add injected full raw process/FIELD/cache/RNG/nonmutation/two-A41C fixture and all failure/physical endpoints
hostile-bribe-fatal-cycle-output	player	0	exact_component_oracle	active hostile YT:[09C9,0B20) menu and all four whole-string Bribe aliases joined through canonical Mercenary life-demand and threshold-rejected-offer immediate-fatal paths; exact two/three-draw provenance, offer-before-commitment process stores, MBF64 ship/shield fatal predicate after MBF32 CSNG commitment, zero-byte YT:13F0/14E1 -> YT:06C4 jumps, and the complete fatal row/self-death/wait/normal-exit child; raw entry A41C/FIELD/store/process/news state, plain/ANSI/local output, failure prefixes, and integral player-record identity are carried	docs/runtime/hostile-bribe-fatal-cycle-output.md; docs/runtime/hostile-fighter-entry-output.md; docs/runtime/deployed-fighter-attack-bribe-output.md; docs/runtime/common-fatal-death-cycle-output.md; tools/ythostile_bribe_fatal_cycle_output.py; tools/ytdeployed_fighter_output.py; tools/ytcommon_fatal_cycle_output.py; tests/test_ythostile_bribe_fatal_cycle_output.py; analysis/disassembly/ythostile-bribe-fatal-cycle-output.static.txt	src/yt_session.c::{sector_entry,bribe_deployed,bribe_forced_attack,common_fatal_self,kill_player,session_wait,quit_session}; src/yt_game.c::{yt_bribe_mercenary_forces,yt_bribe_offer_threshold,yt_bribe_forced_admit}	tests/test_score.c::check_hostile_menu_front; tests/test_presentation.c::{test_hostile_bribe_presentation,test_common_fatal_notice}; tests/test_input_model.c::test_timed_wait; tests/test_sound.c	candidate	exact Bribe prefix, Mercenary-only fatal predicate and zero-byte handoff to the existing common-fatal candidate are represented; add deterministic full native raw death/news/wait/normal-exit state/effect/failure fixture and complete joined bytes/local events
hostile-sector-mine-cycle-output	player	0	exact_component_oracle	active hostile YT:[09C9,0B20) menu and exact whole-string D/DW/DWT aliases joined through the zero-output YT:[158A,1593) wrapper, exact shared YT:[1ECC,2059) sector-mine body, direct YT:1590 -> YT:081F return, one mode-zero scanner/router pass, one optional bounded black-hole/nonfatal-mine continuation and following pass, and one optional fresh hostile menu through its next typed dispatch; accepted deployment carries player-before-sector persistence and canonical DS:4D0A self-mine suppression; child bytes/events and ordered RNG are strictly composed without scanner replay, while the no-hazard path retains exact raw FIELD/store/cache state and all paths preserve integral player identity	docs/runtime/hostile-sector-mine-cycle-output.md; docs/runtime/main-sector-mine-output.md; docs/runtime/gameplay-loop-reentry-output.md; docs/runtime/gameplay-hazard-cycle-output.md; docs/runtime/hostile-fighter-entry-output.md; tools/ythostile_mines_cycle_output.py; tools/ytmain_mines_output.py; tools/ytgameplay_reentry_output.py; tools/ytgameplay_hazard_cycle_output.py; tests/test_ythostile_mines_cycle_output.py; tests/test_ytgameplay_hazard_cycle_output.py; analysis/disassembly/ythostile-mines-cycle-output.static.txt	src/yt_session.c::{sector_entry,command_mines,reload_player,session_031f,session_036f,session_02db,session_02fc,session_sound}; src/yt_game.c::yt_sector_mine_admit; src/qb.c::{qb_mbf32_encode,qb_mbf32_decode}; src/qb_format.c::{qb_val,qb_str_single}	tests/test_score.c::check_hostile_menu_front; tests/test_input_model.c::test_numeric_response; tests/test_presentation.c::test_hostile_sector_mine_presentation	candidate	exact hostile wrapper, shared decision/mutation order and 73/119 accepted, 44/44 cancel, 23/37 no-mine and 51/65 Union bodies are represented; add full raw FIELD/store/cache/suppression/failure and joined scanner/hazard/fresh-menu fixture
hostile-team-cycle-output	player	0	exact_component_oracle	active hostile YT:[09C9,0B20) fighter ratio, prompt/editor, and exact whole-string T dispatch joined by the zero-effect YT:0A66 ON-GOTO position-six edge to YT:55D6 (target word pinned at YT:[0A74,0A76)); choices 2-9, nonmatching inputs, redraws, and terminals remain Team-child results, while exact choice 1 takes the zero-effect YT:57A4 -> YT:081F edge through one existing gameplay-reentry pass, one optional bounded black-hole or nonfatal-mine continuation and following reentry, and optional fresh hostile menu; parent state/time is function sequencing and output is strict child byte/event concatenation; typed hazard inputs remain lazy through nonhazard and failure cuts	docs/runtime/hostile-team-cycle-output.md; docs/runtime/hostile-fighter-entry-output.md; docs/runtime/team-command-cycle-output.md; docs/runtime/gameplay-loop-reentry-output.md; docs/runtime/gameplay-hazard-cycle-output.md; tools/ythostile_team_cycle_output.py; tools/ytteam_cycle_output.py; tools/ytgameplay_reentry_output.py; tools/ytgameplay_hazard_cycle_output.py; tests/test_ythostile_team_cycle_output.py; analysis/disassembly/ythostile-team-cycle-output.static.txt	src/yt_session.c::{sector_entry,command_team,info_team_lines,display_sector}; src/yt_game.c::{yt_hostile_menu_dispatch,yt_team_choice_rejected}	tests/test_score.c::check_hostile_menu_front; tests/test_presentation.c::{test_hostile_menu_presentation,test_team_front_presentation,test_sector_private_pager}	candidate	exact zero-effect hostile T join, ordinary Team front, exact choice-1 return and scanner/router control are represented; implement and pin exact Team action bodies 2-9, complete two-A41C/raw FIELD/cache, joined 387/473-byte cycle, hazard/menu, ANSI/local/RNG/failure and physical fixtures
hostile-quit-cycle-output	player	0	exact_component_oracle	active hostile YT:[09C9,0B20) fighter ratio, prompt/editor, and whole-string Q dispatch; exact YT:[127D,1286) caller wrapper and YT:[1286,12C0) shared quit confirmation, including silent invalid-answer retries; N/blank return through YT:1283 into exactly one fresh hostile menu through its next AB36 and typed dispatch, or accepted-Y live-state composition through YT:[0206,02BF) CLOSE/END	docs/runtime/hostile-quit-cycle-output.md; tools/ythostile_quit_cycle_output.py; tests/test_ythostile_quit_cycle_output.py; analysis/disassembly/ythostile-quit-cycle-output.static.txt	src/yt_session.c::{sector_entry,session_quit_confirm,session_02fc,session_0357,quit_session}; src/yt_input_model.c::yt_input_yes_no_candidate	tests/test_score.c::check_hostile_menu_front; tests/test_input_model.c::{test_yes_no_candidate,test_semicolon_queue,test_repeat_transform}; tests/test_presentation.c::{test_hostile_menu_presentation,test_hostile_quit_presentation,test_hostile_quit_accept_presentation,test_computer_quit_cancel_presentation}	candidate	five aliases, shared heading/raw prompt, first-byte answer semantics, queue transforms and cancel-to-fresh-menu are represented; accepted Y carries the exact 114/94-byte live caller prefix and distinct cached-name/later-player Info values through 1447/1517/1387/1433-byte registered/evaluation exits, 48/50 local rows, color tapes, 25 pager samples and physical scoreboard cleanup; add full cancellation/invalid-retry raw state/effects, modes, carrier/CLOSE/END endpoints and every failure prefix
anonymous-sector-mine-output	player	40	exact_component_oracle	YT-SUB:[63E1,6C8F) from ordinary post-scanner admission: exact entry/explosion/damage rows, shield-versus-unshielded branch, scanner and shrink RNG/TIMER order, sector/player/news writes, music/endpoints/state, repeat/warp/death dispositions, and dependency failure prefixes	docs/runtime/sector-mine-output.md; docs/gameplay/player-combat.md; tools/ytmine_output.py; tests/test_ytmine_output.py; analysis/disassembly/ytmine-output.static.txt	src/yt_session.c::{mine_encounter,sector_entry,attack_player,common_fatal_self,emergency_warp,random_value,shrink_three,mine_stock_loss,reload_player,session_present_text,session_sound,append_news_bytes}; src/yt_game.c::{yt_sector_mine_batch,yt_sector_mine_shield_result,yt_sector_mine_cloak_loss,yt_sector_mine_missile_loss,yt_sector_mine_empty_holds,yt_sector_mine_sector_overlay,yt_sector_mine_player_overlay,yt_sector_mine_explosion_row,yt_sector_mine_shields_row,yt_sector_mine_loss_row,yt_sector_mine_entry_news,yt_sector_mine_final_news}	tests/test_score.c::check_sector_mine_model; tests/test_presentation.c::test_sector_mine_presentation; upstream tests/test_ytmine_output.py (22 cases)	candidate	exact plain 379-byte body, arithmetic, dirty scanner zero, raw untouched-byte overlays and both caller continuations are represented; add complete injected raw FIELD/store/news/RNG/failure fixture, ANSI/local endpoints and TIMER-reseed metadata
cruise-missile-flight-impact-output	player	61	exact_component_oracle	YT-SUB:[6C95,80B9): exact by-reference missile flight, black-hole and police exits, deployed-fighter/mine and player/planet impact ordering, direct/news string construction, all ten RNG sites, child-call joins, FIELD/persistence state, endpoint output, and terminal handoffs	docs/runtime/cruise-missile-output.md; docs/gameplay/player-combat.md; tools/ytmissile_output.py; tools/ytmissile_world.py; tools/ytfriendship_world.py; tools/ythq_victory_world.py; tools/ytdeath_world.py; tools/ytcombat.py; tests/test_ytmissile_output.py; tests/test_ytmissile_world.py; tests/test_ytfriendship_world.py; analysis/disassembly/ytmissile-output.static.txt; analysis/disassembly/ytcombat.static.txt; analysis/disassembly/yt.routines.txt	src/yt_session.c::{launch_projectile,projectile_opening,route_failure_report,missile_sector,missile_planet_impact,projectile_fighter_owner,deploy_victim_mines,session_present_text}; src/yt_game.c::{yt_player_stored_name,yt_planet_stored_name,yt_projectile_defense_row,yt_projectile_attack_first_rows,yt_projectile_destroyed_rows,yt_projectile_friendly_planet_row,yt_projectile_planet_attack_rows}	tests/test_presentation.c::{test_projectile_ordinary_cycle_presentation,test_projectile_early_terminal_presentation}; tests/test_score.c::check_projectile_parent_model	candidate	exact natural no-impact and early-terminal partitions plus binary-safe defense/player/planet identity composers are represented; live impact ordering includes fresh overlays, repeated mine GET/PUT/re-entry, ignored friendship GET, eager scanner CINT/dirty zero, DOUBLE damage, physical planet friendship/restore reads, stale-ore productivity, fresh planet overlays, dirty destruction links and direct/bold/blink presentation; add deterministic raw route/defense/mine/player/planet state/effect, by-reference, caller-edge, RNG, persistence and every failure-prefix fixture
plasma-bolt-flight-impact-output	player	64	exact_component_oracle	YT-SUB:[A9BB,BCB6): exact by-reference plasma-bolt flight, black-hole rerouting, deployed-fighter/mine and player/planet impact ordering, direct/news string construction, continuous energy/RNG tape, child-call joins, FIELD/persistence ordering, the complete A9BB..AB3D raw attribution/energy/loading/music/one-second-wait/target/firing/heading prelude, the connected AB3D..AD17 shared-route/same-sector/hop-loss/timed-wait/black-hole-RNG-and-output continuation, the connected AD17..B00E physical sector/presence/cached-player/owner/deployed-fighter damage/output/news continuation into the persistence chain, the canonical B00E..B088 physical defense GET/FIELD/PUT plus live-state Headquarters join, the connected B088 cached-player/mine/planet dispatch and exact impact-graph joins through B0D6/B26E/B2B1/B500/B713 back to ABB1 or BC80, complete B0D6 mine sound/news/RNG/string/GET/FIELD/PUT body, and shared B26E scan through its ordinary ABB1/BC80 edges, plus canonical B2B1 damage/news/direct output and B68E survivor GET/FIELD/PUT/footer state, complete B500 self/non-self kill, death/salvage, mine-deployment/reentry, and restarted-scan state, plus B713 planet REDIM/updater-cache/GET/damage/RNG/output/news/FIELD/PUT/destruction-unlink closure and the one canonical BC80 three-row footer, plus one ordinary active-main '+' command through the launcher, raw-storage scanner, physical return A41C, fresh prompt, and AB36 poll, endpoint output, and terminal handoffs	docs/runtime/plasma-bolt-output.md; docs/runtime/main-plasma-cycle-output.md; docs/gameplay/player-combat.md; tools/ytplasma_output.py; tools/ytplasma_hq_world.py; tools/ytplasma_postdefense_world.py; tools/ytplasma_player_world.py; tools/ytplasma_killed_world.py; tools/ytplasma_planet_world.py; tools/ytplasma_footer_world.py; tools/ytplasma_fighter_world.py; tools/ytplasma_route_world.py; tools/ytplasma_impact_world.py; tools/ytplasma_world.py; tools/ytcombat.py; tests/test_ytplasma_output.py; tests/test_ythq_callers_world.py; tests/test_ytplasma_postdefense_world.py; tests/test_ytplasma_player_world.py; tests/test_ytplasma_killed_world.py; tests/test_ytplasma_planet_world.py; tests/test_ytplasma_fighter_world.py; tests/test_ytplasma_route_world.py; tests/test_ytplasma_impact_world.py; tests/test_ytplasma_world.py; tools/ytmain_plasma_launch_output.py; tools/ytmain_plasma_cycle_output.py; tests/test_ytmain_plasma_launch_output.py; tests/test_ytmain_plasma_cycle_output.py; analysis/disassembly/ytplasma-output.static.txt; analysis/disassembly/ytcombat.static.txt; analysis/disassembly/yt.routines.txt	src/yt_game.c::{yt_projectile_plasma_opening_run,yt_projectile_plasma_route_run,yt_projectile_sector_probe_run,yt_projectile_plasma_fighter_run,yt_projectile_plasma_mine_run,yt_projectile_plasma_dispatch_run,yt_projectile_plasma_player_run,yt_projectile_plasma_killed_run,yt_projectile_plasma_planet_run,yt_projectile_plasma_footer_run}; src/yt_session.c::{launch_projectile,projectile_opening,plasma_route_build,plasma_route_impact,plasma_sector_loaded,plasma_sector,plasma_planet_impact,plasma_fighter_owner,deploy_victim_mines,session_present_text}	tests/test_score.c::{check_projectile_plasma_opening_transaction,check_projectile_plasma_route_transaction,check_projectile_sector_probe_transaction,check_projectile_plasma_fighter_transaction,check_projectile_plasma_mine_transaction,check_projectile_plasma_dispatch_transaction,check_projectile_plasma_player_transaction,check_projectile_plasma_killed_transaction,check_projectile_plasma_planet_transaction,check_projectile_plasma_footer_transaction}	candidate	the exact logical impact graph through B713..BCB6 is native with binary identities, output/news/sound order, RNG cadence, fresh raw overlays, canonical destruction/unlink zeroes, the three-row footer and every owned callback prefix; add raw REDIM/far-array/string/FIELD/direct-output/runtime state, dependency-internal physical prefixes, endpoint variants and remaining whole-resolver joins
hostile-fighter-entry-output	player	5	exact_component_oracle	YT:[09C9,0B20) through one fighter ratio, exact no-newline option prompt and ordinary successful AB36 edit or first-poll terminal exit, whole-string dispatch, nine-line help or invalid-command cycle, B05D carrier prefixes, endpoint routing, and carried pager/presentation state	docs/runtime/hostile-fighter-entry-output.md; docs/gameplay/command-shell.md; tools/ythostile_entry_output.py; tests/test_ythostile_entry_output.py; analysis/disassembly/ythostile-output.static.txt	src/yt_session.c::{sector_entry,hostile_menu_help,session_0317,session_031f,session_0357,session_02db}; src/yt_game.c::{yt_hostile_menu_row,yt_hostile_menu_dispatch}	tests/test_score.c::check_hostile_menu_front; tests/test_presentation.c::test_hostile_menu_presentation; tests/test_input_model.c::{test_arbitration,test_repeat_transform,test_semicolon_queue}	candidate	canonical 73-byte Attack, 119-byte invalid and 257-byte Help ANSI streams, DOUBLE spelling, whole-string aliases, pager and local color are pinned; add genuine returned DOUBLE cache, joined A41C/AB36 carrier/terminal/failure and physical endpoint fixtures; downstream actions remain separate
